DRAC v.1.2 Inputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full details of the inputs required for a DRAC dose rate calculation and the calculation process can be found in the paper and the DRAC website (www.aber.ac.uk/alrl/drac).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Please cite all uses of DRAC, including the version number, as Durcan, J.A., King, G.E., and Duller, G.A.T., 2015. DRAC: Dose rate and age calculator for trapped charge dating. Quaternary Geochronology, 28, 54-61. Corresponding authors: Julie Durcan (julie.durcan@ouce.ox.ac.uk) and Georgina King (georgina.king@uni-koeln.de).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To calculate dose rates using DRAC, the data table below (excluding headers) can be copied and pasted into the calculator box on the DRAC website (www.aber.ac.uk/alrl/DRAC). Once 'calculate' has been clicked, DRAC will generate an output file, which can be saved by the user.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TI:1,TI:2,TI:3,TI:4,TI:5,TI:6,TI:7,TI:8,TI:9,TI:10,TI:11,TI:12,TI:13,TI:14,TI:15,TI:16,TI:17,TI:18,TI:19,TI:20,TI:21,TI:22,TI:23,TI:24,TI:25,TI:26,TI:27,TI:28,TI:29,TI:30,TI:31,TI:32,TI:33,TI:34,TI:35,TI:36,TI:37,TI:38,TI:39,TI:40,TI:41,TI:42,TI:43,TI:44,TI:45,TI:46,TI:47,TI:48,TI:49,TI:50,TI:51,TI:52,TI:53
DRAC-example,4369,F,Liritzisetal2013,2.706,0.039,9.79,0.08,1.56,0.02,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.081,0.02,26.9,5,38.3,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4459,F,Liritzisetal2013,2.762,0.025,10.56,0.06,1.6,0.01,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.081,0.02,25.1,5,40,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4460,F,Liritzisetal2013,2.539,0.027,10.79,0.07,1.8,0.02,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.081,0.02,30.6,5,43.1,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4373,F,Liritzisetal2013,2.789,0.03,9.92,0.07,1.8,0.02,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.081,0.02,25.1,5,48.8,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4381,F,Liritzisetal2013,2.906,0.029,10.32,0.06,1.81,0.01,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.081,0.02,23.7,5,52.1,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4368,F,Liritzisetal2013,3.003,0.05,11.64,0.12,1.74,0.03,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.081,0.02,28.3,5,60,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4379,F,Liritzisetal2013,2.745,0.027,10.61,0.06,1.55,0.01,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.081,0.02,42.9,5,62.7,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4376,F,Liritzisetal2013,2.841,0.035,12.1,0.09,2.04,0.02,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.081,0.02,42.6,5,65,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4366,F,Liritzisetal2013,8.222,0.045,21.39,0.1,3.39,0.02,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.081,0.02,42.5,5,69,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4382,F,Liritzisetal2013,2.572,0.03,10.45,0.07,1.82,0.02,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.081,0.02,62.5,5,69,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4378,F,Liritzisetal2013,3.174,0.024,10.81,0.06,2.09,0.01,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.081,0.02,24.9,5,70.1,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4365,F,Liritzisetal2013,2.782,0.035,12.83,0.09,2.7,0.02,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.081,0.02,24,5,72.2,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,LUM-2307,F,Liritzisetal2013,3.471,0.032,11.12,0.07,1.94,0.02,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.081,0.02,20,10,1.5,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,LUM-2308,F,Liritzisetal2013,4.107,0.045,13.88,0.1,1.83,0.02,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.081,0.02,20,10,4.3,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,LUM-2317,F,Liritzisetal2013,3.65,0.027,12.73,0.06,1.81,0.01,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.081,0.02,20,10,6.6,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,LUM-2318,F,Liritzisetal2013,3.107,0.028,12.33,0.07,1.83,0.01,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.081,0.02,20,10,9.6,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,LUM-2310,F,Liritzisetal2013,3.691,0.04,13.34,0.09,1.72,0.02,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.081,0.02,25,10,12.6,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,LUM-2311,F,Liritzisetal2013,3.306,0.029,12.17,0.07,1.76,0.01,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.081,0.02,25,10,13.8,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,LUM-2309,F,Liritzisetal2013,3.141,0.037,10.57,0.09,1.56,0.02,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.081,0.02,25,10,17.8,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,LUM-2312,F,Liritzisetal2013,2.584,0.036,10.3,0.09,1.34,0.02,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.081,0.02,30,10,22.4,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,LUM-2313,F,Liritzisetal2013,1.838,0.033,7.82,0.08,1.21,0.02,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.081,0.02,25,10,27.7,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,LUM-2314,F,Liritzisetal2013,2.706,0.049,9.29,0.11,1.49,0.02,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.081,0.02,30,10,35.3,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,LUM-2315,F,Liritzisetal2013,2.983,0.032,10.54,0.07,1.85,0.02,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.081,0.02,25,10,52.4,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,LUM-2316,F,Liritzisetal2013,3.157,0.032,10.56,0.07,1.92,0.01,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.081,0.02,25,10,53.2,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4371,Q,Liritzisetal2013,2.841,0.04,12.13,0.09,1.9,0.02,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,20,20,Brennan2003,0.036,0.01,22.1,5,1.8,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4374,Q,Liritzisetal2013,3.073,0.032,12.6,0.07,1.95,0.02,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,20,20,Brennan2003,0.036,0.01,18.6,5,3,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4451,Q,Liritzisetal2013,2.97,0.033,11.88,0.07,1.93,0.02,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,20,20,Brennan2003,0.036,0.01,18.6,5,5,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4452,Q,Liritzisetal2013,2.854,0.034,11.36,0.08,1.89,0.02,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,20,20,Brennan2003,0.036,0.01,20,5,5.4,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4380,Q,Liritzisetal2013,2.989,0.022,12.06,0.05,1.87,0.01,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,20,20,Brennan2003,0.036,0.01,36.3,5,8.7,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4453,Q,Liritzisetal2013,3.184,0.037,11.66,0.09,1.75,0.02,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,20,20,Brennan2003,0.036,0.01,22.1,5,9.2,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4367,Q,Liritzisetal2013,2.571,0.029,9.65,0.07,1.62,0.02,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,20,20,Brennan2003,0.036,0.01,21.3,5,11,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4454,Q,Liritzisetal2013,2.707,0.038,10.5,0.09,1.64,0.02,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,20,20,Brennan2003,0.036,0.01,25.1,5,12.1,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4377,Q,Liritzisetal2013,2.6,0.034,10.01,0.08,1.65,0.02,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,20,20,Brennan2003,0.036,0.01,21,5,15.2,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4372,Q,Liritzisetal2013,2.798,0.028,10.47,0.07,1.54,0.02,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,20,20,Brennan2003,0.036,0.01,30.9,5,19.2,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4455,Q,Liritzisetal2013,6.767,0.035,12.92,0.07,1.69,0.01,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,20,20,Brennan2003,0.036,0.01,35,5,23,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4370,Q,Liritzisetal2013,2.51,0.035,9.43,0.09,1.75,0.02,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,20,20,Brennan2003,0.036,0.01,24,5,27,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4456,Q,Liritzisetal2013,2.384,0.034,9.94,0.08,1.53,0.02,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,20,20,Brennan2003,0.036,0.01,34,5,29.9,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4457,Q,Liritzisetal2013,2.632,0.038,10.87,0.09,1.62,0.02,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,20,20,Brennan2003,0.036,0.01,34.4,5,31.3,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4375,Q,Liritzisetal2013,2.482,0.026,10.06,0.06,1.56,0.01,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,20,20,Brennan2003,0.036,0.01,29.8,5,33,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4369,Q,Liritzisetal2013,2.706,0.039,9.79,0.08,1.56,0.02,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,20,20,Brennan2003,0.036,0.01,26.9,5,38.3,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4459,Q,Liritzisetal2013,2.762,0.025,10.56,0.06,1.6,0.01,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,20,20,Brennan2003,0.036,0.01,25.1,5,40,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4460,Q,Liritzisetal2013,2.539,0.027,10.79,0.07,1.8,0.02,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,20,20,Brennan2003,0.036,0.01,30.6,5,43.1,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4373,Q,Liritzisetal2013,2.789,0.03,9.92,0.07,1.8,0.02,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,20,20,Brennan2003,0.036,0.01,25.1,5,48.8,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4381,Q,Liritzisetal2013,2.906,0.029,10.32,0.06,1.81,0.01,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,20,20,Brennan2003,0.036,0.01,23.7,5,52.1,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4368,Q,Liritzisetal2013,3.003,0.05,11.64,0.12,1.74,0.03,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,20,20,Brennan2003,0.036,0.01,28.3,5,60,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4379,Q,Liritzisetal2013,2.745,0.027,10.61,0.06,1.55,0.01,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,20,20,Brennan2003,0.036,0.01,42.9,5,62.7,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4376,Q,Liritzisetal2013,2.841,0.035,12.1,0.09,2.04,0.02,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,20,20,Brennan2003,0.036,0.01,42.6,5,65,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4366,Q,Liritzisetal2013,8.222,0.045,21.39,0.1,3.39,0.02,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,20,20,Brennan2003,0.036,0.01,42.5,5,69,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4382,Q,Liritzisetal2013,2.572,0.03,10.45,0.07,1.82,0.02,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,20,20,Brennan2003,0.036,0.01,62.5,5,69,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4378,Q,Liritzisetal2013,3.174,0.024,10.81,0.06,2.09,0.01,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,20,20,Brennan2003,0.036,0.01,24.9,5,70.1,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4365,Q,Liritzisetal2013,2.782,0.035,12.83,0.09,2.7,0.02,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,20,20,Brennan2003,0.036,0.01,24,5,72.2,0.02,2,0.1,50.5,7.1,147,X,X,X,X
