DRAC v.1.2 Inputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full details of the inputs required for a DRAC dose rate calculation and the calculation process can be found in the paper and the DRAC website (www.aber.ac.uk/alrl/drac).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Please cite all uses of DRAC, including the version number, as Durcan, J.A., King, G.E., and Duller, G.A.T., 2015. DRAC: Dose rate and age calculator for trapped charge dating. Quaternary Geochronology, 28, 54-61. Corresponding authors: Julie Durcan (julie.durcan@ouce.ox.ac.uk) and Georgina King (georgina.king@uni-koeln.de).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To calculate dose rates using DRAC, the data table below (excluding headers) can be copied and pasted into the calculator box on the DRAC website (www.aber.ac.uk/alrl/DRAC). Once 'calculate' has been clicked, DRAC will generate an output file, which can be saved by the user.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TI:1,TI:2,TI:3,TI:4,TI:5,TI:6,TI:7,TI:8,TI:9,TI:10,TI:11,TI:12,TI:13,TI:14,TI:15,TI:16,TI:17,TI:18,TI:19,TI:20,TI:21,TI:22,TI:23,TI:24,TI:25,TI:26,TI:27,TI:28,TI:29,TI:30,TI:31,TI:32,TI:33,TI:34,TI:35,TI:36,TI:37,TI:38,TI:39,TI:40,TI:41,TI:42,TI:43,TI:44,TI:45,TI:46,TI:47,TI:48,TI:49,TI:50,TI:51,TI:52,TI:53
DRAC-example,4375,F,Liritzisetal2013,2.482,0.127,10.06,0.507,1.56,0.079,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,29.8,5,33,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4369,F,Liritzisetal2013,2.706,0.141,9.79,0.496,1.56,0.081,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,26.9,5,38.3,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4459,F,Liritzisetal2013,2.762,0.14,10.56,0.531,1.6,0.081,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,25.1,5,40,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4460,F,Liritzisetal2013,2.539,0.13,10.79,0.544,1.8,0.092,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,30.6,5,43.1,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4373,F,Liritzisetal2013,2.789,0.143,9.92,0.501,1.8,0.092,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,25.1,5,48.8,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4381,F,Liritzisetal2013,2.906,0.148,10.32,0.519,1.81,0.091,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,23.7,5,52.1,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4368,F,Liritzisetal2013,3.003,0.158,11.64,0.594,1.74,0.092,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,28.3,5,60,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4379,F,Liritzisetal2013,2.745,0.14,10.61,0.534,1.55,0.078,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,42.9,5,62.7,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4376,F,Liritzisetal2013,2.841,0.146,12.1,0.612,2.04,0.104,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,42.6,5,65,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4366,F,Liritzisetal2013,8.222,0.414,21.39,1.074,3.39,0.171,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,42.5,5,69,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4382,F,Liritzisetal2013,2.572,0.132,10.45,0.527,1.82,0.093,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,62.5,5,69,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4378,F,Liritzisetal2013,3.174,0.161,10.81,0.544,2.09,0.105,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,24.9,5,70.1,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4365,F,Liritzisetal2013,2.782,0.143,12.83,0.648,2.7,0.136,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,24,5,72.2,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,LUM-2307,F,Liritzisetal2013,3.471,0.176,11.12,0.56,1.94,0.099,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,20,10,1.5,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,LUM-2308,F,Liritzisetal2013,4.107,0.21,13.88,0.701,1.83,0.094,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,20,10,4.3,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,LUM-2317,F,Liritzisetal2013,3.65,0.184,12.73,0.639,1.81,0.091,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,20,10,6.6,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,LUM-2318,F,Liritzisetal2013,3.107,0.158,12.33,0.62,1.83,0.092,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,20,10,9.6,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,LUM-2310,F,Liritzisetal2013,3.691,0.189,13.34,0.673,1.72,0.088,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,25,10,12.6,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,LUM-2311,F,Liritzisetal2013,3.306,0.168,12.17,0.613,1.76,0.089,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,25,10,13.8,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,LUM-2309,F,Liritzisetal2013,3.141,0.161,10.57,0.536,1.56,0.081,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,25,10,17.8,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,LUM-2312,F,Liritzisetal2013,2.584,0.134,10.3,0.523,1.34,0.07,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,30,10,22.4,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,LUM-2313,F,Liritzisetal2013,1.838,0.098,7.82,0.399,1.21,0.064,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,25,10,27.7,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,LUM-2314,F,Liritzisetal2013,2.706,0.144,9.29,0.477,1.49,0.077,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,30,10,35.3,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,LUM-2315,F,Liritzisetal2013,2.983,0.153,10.54,0.532,1.85,0.095,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,25,10,52.4,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,LUM-2316,F,Liritzisetal2013,3.157,0.161,10.56,0.533,1.92,0.097,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,25,10,53.2,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4371,Q,Liritzisetal2013,2.841,0.148,12.13,0.613,1.9,0.097,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.036,0.01,22.1,5,1.8,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4374,Q,Liritzisetal2013,3.073,0.157,12.6,0.634,1.95,0.1,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.036,0.01,18.6,5,3,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4451,Q,Liritzisetal2013,2.97,0.152,11.88,0.598,1.93,0.099,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.036,0.01,18.6,5,5,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4452,Q,Liritzisetal2013,2.854,0.147,11.36,0.574,1.89,0.097,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.036,0.01,20,5,5.4,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4380,Q,Liritzisetal2013,2.989,0.151,12.06,0.605,1.87,0.094,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.036,0.01,36.3,5,8.7,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4453,Q,Liritzisetal2013,3.184,0.163,11.66,0.59,1.75,0.09,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.036,0.01,22.1,5,9.2,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4367,Q,Liritzisetal2013,2.571,0.132,9.65,0.488,1.62,0.083,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.036,0.01,21.3,5,11,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4454,Q,Liritzisetal2013,2.707,0.141,10.5,0.533,1.64,0.084,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.036,0.01,25.1,5,12.1,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4377,Q,Liritzisetal2013,2.6,0.134,10.01,0.507,1.65,0.085,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.036,0.01,21,5,15.2,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4372,Q,Liritzisetal2013,2.798,0.143,10.47,0.528,1.54,0.08,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.036,0.01,30.9,5,19.2,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4455,Q,Liritzisetal2013,6.767,0.34,12.92,0.65,1.69,0.085,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.036,0.01,35,5,23,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4370,Q,Liritzisetal2013,2.51,0.13,9.43,0.48,1.75,0.09,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.036,0.01,24,5,27,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4456,Q,Liritzisetal2013,2.384,0.124,9.94,0.503,1.53,0.079,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.036,0.01,34,5,29.9,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4457,Q,Liritzisetal2013,2.632,0.137,10.87,0.551,1.62,0.083,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.036,0.01,34.4,5,31.3,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4375,Q,Liritzisetal2013,2.482,0.127,10.06,0.507,1.56,0.079,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.036,0.01,29.8,5,33,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4369,Q,Liritzisetal2013,2.706,0.141,9.79,0.496,1.56,0.081,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.036,0.01,26.9,5,38.3,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4459,Q,Liritzisetal2013,2.762,0.14,10.56,0.531,1.6,0.081,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.036,0.01,25.1,5,40,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4460,Q,Liritzisetal2013,2.539,0.13,10.79,0.544,1.8,0.092,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.036,0.01,30.6,5,43.1,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4373,Q,Liritzisetal2013,2.789,0.143,9.92,0.501,1.8,0.092,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.036,0.01,25.1,5,48.8,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4381,Q,Liritzisetal2013,2.906,0.148,10.32,0.519,1.81,0.091,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.036,0.01,23.7,5,52.1,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4368,Q,Liritzisetal2013,3.003,0.158,11.64,0.594,1.74,0.092,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.036,0.01,28.3,5,60,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4379,Q,Liritzisetal2013,2.745,0.14,10.61,0.534,1.55,0.078,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.036,0.01,42.9,5,62.7,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4376,Q,Liritzisetal2013,2.841,0.146,12.1,0.612,2.04,0.104,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.036,0.01,42.6,5,65,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4366,Q,Liritzisetal2013,8.222,0.414,21.39,1.074,3.39,0.171,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.036,0.01,42.5,5,69,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4382,Q,Liritzisetal2013,2.572,0.132,10.45,0.527,1.82,0.093,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.036,0.01,62.5,5,69,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4378,Q,Liritzisetal2013,3.174,0.161,10.81,0.544,2.09,0.105,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.036,0.01,24.9,5,70.1,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4365,Q,Liritzisetal2013,2.782,0.143,12.83,0.648,2.7,0.136,0,0,N,X,X,X,X,X,X,X,X,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-Q,0,0,Brennan2003,0.036,0.01,24,5,72.2,0.02,2,0.1,50.5,7.1,147,X,X,X,X
